source,target,weight,community
Walter,Albuquerque,48,0
Walter,Skyler,1074,0
Walter,Walt Jr.,77,0
Walter,Hank,676,0
Walter,Bogdan,22,0
Walter,Steven Gomez,6,0
Walter,Cook,6,0
Walter,Jesse,2146,0
Walter,Gomez,34,0
Walter,Emilio,55,0
Walter,Marie,181,0
Walter,DEA,60,0
Walter,Ken,6,0
Walter,Combo,27,0
Walter,Delcavoli,39,0
Walter,Badger,17,0
Walter,Elliott,56,0
Walter,Gretchen,58,0
Walter,Hugo,5,0
Walter,Tuco Salamanca,221,0
Walter,Skinny Pete,33,0
Walter,No-Doze,12,0
Walter,Gonzo,5,0
Walter,Clovis,11,0
Walter,Carmen Molina,5,0
Walter,Spooge,25,0
Walter,Ted Beneke,62,0
Walter,Jane Margolis,73,0
Walter,Tortuga,10,0
Walter,Saul Goodman,303,0
Walter,Jimmy,5,0
Walter,Denny,11,0
Walter,Bravenec,6,0
Walter,Gus Fring,10,0
Walter,Donald Margolis,15,0
Walter,Mike,413,0
Walter,Carmen,17,0
Walter,Cousins,46,0
Walter,Leonel Salamanca,17,0
Walter,Victor,39,0
Walter,Marco,5,0
Walter,Bolsa,16,0
Walter,Merkert,5,0
Walter,Gale Boetticher,115,0
Walter,Joe,6,0
Walter,Andrea Cantillo,22,0
Walter,Huell Babineaux,27,0
Walter,Lawson,26,0
Walter,Brock,48,0
Walter,Tyrus Kitt,33,0
Walter,Tim,5,0
Walter,Pollos,5,0
Walter,Cartel,11,0
Walter,Juan Bolsa,5,0
Walter,Barry Goodman,10,0
Walter,Max Arciniega,5,0
Walter,Francesca,5,0
Walter,Rebecca,5,0
Walter,Hector Salamanca,6,0
Walter,Peter Schuler,5,0
Walter,Todd Alquist,100,0
Walter,Lydia,55,0
Walter,Kuby,17,0
Walter,Declan,35,0
Walter,Dan Wachsberger,5,0
Walter,Kaylee,5,0
Walter,Jack Welker,161,0
Walter,Carol,6,0
Walter,Salamanca,6,0
Walter,Kenny,11,0
Walter,Ed,46,0
Walter,Ramey,6,0
Walter,Louis,5,0
Albuquerque,DEA,18,1
Albuquerque,Hank,24,1
Albuquerque,Skyler,11,1
Albuquerque,Jesse,17,1
Albuquerque,Badger,6,1
Albuquerque,Merkert,6,1
Albuquerque,Gomez,11,1
Albuquerque,Combo,5,1
Albuquerque,Donald Margolis,5,1
Albuquerque,Cousins,5,1
Albuquerque,Francesca,6,1
Albuquerque,Gale Boetticher,6,1
Albuquerque,ASAC George Merkert,6,1
Albuquerque,Mike,5,1
Albuquerque,Ed,5,1
Skyler,Walt Jr.,43,0
Skyler,Marie,187,0
Skyler,Jesse,149,0
Skyler,Emilio,6,0
Skyler,DEA,5,0
Skyler,Hank,203,0
Skyler,Delcavoli,18,0
Skyler,Jake,5,0
Skyler,Elliott,5,0
Skyler,Hugo,5,0
Skyler,Louis,5,0
Skyler,Tuco Salamanca,5,0
Skyler,Gretchen,11,0
Skyler,Ted Beneke,148,0
Skyler,Jane Margolis,10,0
Skyler,Donald Margolis,10,0
Skyler,Mike,30,0
Skyler,Bravenec,5,0
Skyler,Don,5,0
Skyler,Saul Goodman,56,0
Skyler,Cousins,5,0
Skyler,Combo,5,0
Skyler,Huell Babineaux,5,0
Skyler,Gale Boetticher,10,0
Skyler,Bogdan,17,0
Skyler,Patrick Kuby,5,0
Skyler,Kuby,6,0
Skyler,Cartel,5,0
Skyler,Brock,10,0
Skyler,Lydia,22,0
Skyler,Jack Welker,10,0
Skyler,Todd Alquist,11,0
Skyler,Ed,6,0
Walt Jr.,Jesse,5,2
Walt Jr.,Mike,10,2
Walt Jr.,Marie,12,2
Walt Jr.,Gale Boetticher,11,2
Walt Jr.,Hank,11,2
Walt Jr.,Madrigal,5,2
Walt Jr.,Saul Goodman,12,2
Walt Jr.,Brock,5,2
Hank,DEA,165,3
Hank,Marie,281,3
Hank,Bogdan,10,3
Hank,Steven Gomez,5,3
Hank,Gomez,161,3
Hank,Emilio,6,3
Hank,Jesse,260,3
Hank,Wendy,5,3
Hank,Tuco Salamanca,54,3
Hank,Hugo,6,3
Hank,Gonzo,5,3
Hank,Tio,6,3
Hank,Salamanca,5,3
Hank,Spooge,5,3
Hank,Vanco,10,3
Hank,Tortuga,5,3
Hank,Jane Margolis,15,3
Hank,Badger,17,3
Hank,Saul Goodman,28,3
Hank,Merkert,28,3
Hank,Victor,10,3
Hank,Janice,5,3
Hank,Combo,6,3
Hank,Ortega,6,3
Hank,Cousins,11,3
Hank,Joe,6,3
Hank,Leonel Salamanca,11,3
Hank,Marco,17,3
Hank,Bolsa,5,3
Hank,Ted Beneke,6,3
Hank,Tim,5,3
Hank,Gale Boetticher,44,3
Hank,Mike,73,3
Hank,Pollos,10,3
Hank,Andrea Cantillo,5,3
Hank,Cartel,6,3
Hank,Max Arciniega,5,3
Hank,Don,5,3
Hank,SAC Ramey,6,3
Hank,ASAC George Merkert,6,3
Hank,Lydia,5,3
Hank,Dan Wachsberger,6,3
Hank,Dennis Markowski,6,3
Hank,Jack Welker,12,3
Hank,Carol,5,3
Hank,Declan,5,3
Hank,Todd Alquist,5,3
