source,target,weight,community
Walter,Albuquerque,15,3
Walter,Donald Margolis,6,3
Walter,Skyler,284,3
Walter,Hank,93,3
Walter,Jesse,444,3
Walter,Walt Jr.,10,3
Walter,Carmen,17,3
Walter,Cousins,46,3
Walter,Marie,21,3
Walter,Jane Margolis,6,3
Walter,DEA,15,3
Walter,Saul Goodman,79,3
Walter,Mike,51,3
Walter,Leonel Salamanca,17,3
Walter,Victor,17,3
Walter,Marco,5,3
Walter,Tuco Salamanca,18,3
Walter,Bolsa,16,3
Walter,Ted Beneke,15,3
Walter,Merkert,5,3
Walter,Combo,16,3
Walter,Badger,5,3
Walter,Gale Boetticher,61,3
Walter,Clovis,6,3
Walter,Joe,6,3
Walter,Gomez,17,3
Walter,Andrea Cantillo,5,3
Albuquerque,Donald Margolis,2,3
Albuquerque,Hank,6,3
Albuquerque,Cousins,5,3
Albuquerque,Francesca,6,3
Donald Margolis,Jane Margolis,6,3
Skyler,Hank,52,1
Skyler,Walt Jr.,16,1
Skyler,Marie,41,1
Skyler,Jesse,35,1
Skyler,Don,5,1
Skyler,Tuco Salamanca,5,1
Skyler,Ted Beneke,53,1
Skyler,Saul Goodman,17,1
Skyler,Cousins,5,1
Skyler,DEA,5,1
Skyler,Combo,5,1
Hank,DEA,23,2
Hank,Marie,122,2
Hank,Jane Margolis,10,2
Hank,Gomez,61,2
Hank,Merkert,22,2
Hank,Jesse,101,2
Hank,Victor,5,2
Hank,Janice,5,2
Hank,Combo,6,2
Hank,Ortega,6,2
Hank,Badger,5,2
Hank,Saul Goodman,10,2
Hank,Cousins,11,2
Hank,Joe,6,2
Hank,Salamanca,5,2
Hank,Tuco Salamanca,6,2
Hank,Leonel Salamanca,11,2
Hank,Marco,17,2
Hank,Bolsa,5,2
Hank,Ted Beneke,6,2
Jesse,Marie,11,1
Jesse,Jane Margolis,30,1
Jesse,Saul Goodman,100,1
Jesse,Don,5,1
Jesse,Marco,5,1
Jesse,DEA,10,1
Jesse,Victor,22,1
Jesse,Skinny Pete,33,1
Jesse,Combo,11,1
Jesse,Cousins,5,1
Jesse,Badger,23,1
Jesse,Gale Boetticher,12,1
Jesse,Merkert,6,1
Jesse,Leonel Salamanca,5,1
Jesse,Tuco Salamanca,5,1
Jesse,Gomez,5,1
Jesse,Ted Beneke,5,1
Jesse,Andrea Cantillo,22,1
Jesse,Brock,5,1
Jesse,Wendy,11,1
Jesse,Mike,22,1
Walt Jr.,Mike,5,4
Cousins,DEA,5,0
Cousins,Mike,6,0
Cousins,Gomez,5,0
Cousins,Salamanca,6,0
Cousins,Leonel Salamanca,11,0
Cousins,Tuco Salamanca,5,0
Cousins,Bolsa,6,0
Cousins,Marco,5,0
Cousins,Juan Bolsa,6,0
Marie,Gomez,18,2
Marie,DEA,5,2
Marie,Juan Bolsa,5,2
DEA,Tortuga,5,2
DEA,Gomez,12,2
DEA,Merkert,5,2
DEA,Bolsa,6,2
Saul Goodman,Mike,29,3
Saul Goodman,Francesca,6,3
Saul Goodman,Andrea Cantillo,5,3
Mike,Marco,6,4
Mike,Victor,18,4
Mike,Ted Beneke,5,4
Mike,Leonel Salamanca,12,4
Mike,Gomez,5,4
Mike,Patrick,5,4
Mike,Gale Boetticher,6,4
Mike,Chow,5,4
Marco,Leonel Salamanca,49,0
Leonel Salamanca,Salamanca,5,0
Leonel Salamanca,Bolsa,5,0
Salamanca,Tuco Salamanca,6,0
Salamanca,Juan Bolsa,6,0
Tuco Salamanca,Bolsa,6,0
Victor,Gale Boetticher,17,4
Gomez,Janice,5,2
Gomez,Merkert,11,2
Juan Bolsa,Bolsa,5,0
Skinny Pete,Combo,6,1
Skinny Pete,Badger,12,1
Combo,Ortega,6,1
Combo,Andrea Cantillo,6,1
Badger,Clovis,6,1
Badger,Andrea Cantillo,5,1
Andrea Cantillo,Brock,10,1
Wendy,Patrick,6,4
