source,target,weight,community
Denny,Walter,1,2
Walter,Lawson,14,2
Walter,Brock,6,2
Walter,Skyler,143,2
Walter,Hank,45,2
Walter,Gomez,11,2
Walter,Barry Goodman,5,2
Walter,Jesse,221,2
Walter,Mike,189,2
Walter,Ted Beneke,15,2
Walter,Huell Babineaux,5,2
Walter,DEA,10,2
Walter,Max Arciniega,5,2
Walter,Saul Goodman,22,2
Walter,Peter Schuler,5,2
Walter,Gale Boetticher,6,2
Walter,Andrea Cantillo,11,2
Walter,Todd Alquist,60,2
Walter,Marie,28,2
Walter,Walt Jr.,6,2
Walter,Victor,5,2
Walter,Lydia,23,2
Walter,Kuby,6,2
Walter,Declan,29,2
Walter,Dan Wachsberger,5,2
Walter,Kaylee,5,2
Walter,Jack Welker,12,2
Brock,Skyler,10,2
Brock,Mike,5,2
Brock,Andrea Cantillo,5,2
Brock,Jesse,6,2
Skyler,Walt Jr.,5,2
Skyler,Hank,32,2
Skyler,Saul Goodman,6,2
Skyler,Ted Beneke,22,2
Skyler,Mike,5,2
Skyler,Gale Boetticher,5,2
Skyler,Marie,45,2
Skyler,DEA,5,2
Skyler,Jesse,5,2
Skyler,Lydia,5,2
Walt Jr.,Hank,6,2
Walt Jr.,Madrigal,5,2
Walt Jr.,Marie,6,2
Walt Jr.,Jesse,5,2
Hank,Gomez,6,1
Hank,Mike,61,1
Hank,DEA,24,1
Hank,Merkert,6,1
Hank,Marie,18,1
Hank,SAC Ramey,6,1
Hank,ASAC George Merkert,6,1
Hank,Albuquerque,6,1
Hank,Lydia,6,1
Hank,Dan Wachsberger,6,1
Hank,Jesse,5,1
Hank,Dennis Markowski,6,1
Hank,Jack Welker,5,1
Hank,Saul Goodman,5,1
Gomez,Madrigal,6,1
Gomez,Merkert,5,1
Gomez,Mike,11,1
Gomez,Dan Wachsberger,6,1
Gomez,DEA,6,1
Mike,Cartel,6,3
Mike,Jesse,83,3
Mike,Joe,5,3
Mike,DEA,24,3
Mike,Lydia,17,3
Mike,Kaylee,16,3
Mike,Chris,16,3
Mike,Chow,10,3
Mike,Dennis Markowski,5,3
Mike,Dan Wachsberger,24,3
Mike,Saul Goodman,17,3
Mike,Ira,5,3
Mike,Skinny Pete,5,3
Mike,Ron,5,3
Mike,SAC Ramey,6,3
Mike,Albuquerque,5,3
Mike,Kuby,11,3
Mike,Todd Alquist,5,3
Mike,Declan,6,3
Cartel,Barry Goodman,5,3
Jesse,Joe,5,2
Jesse,Saul Goodman,6,2
Jesse,Ted Beneke,5,2
Jesse,Jack Welker,5,2
Jesse,Peter Schuler,5,2
Jesse,Badger,5,2
Jesse,Todd Alquist,38,2
Jesse,Andrea Cantillo,6,2
Jesse,Marie,10,2
Jesse,Lydia,5,2
Jesse,Kuby,5,2
Jesse,Declan,5,2
Jesse,DEA,5,2
Saul Goodman,Max Arciniega,5,0
Saul Goodman,Huell Babineaux,6,0
Saul Goodman,Ira,6,0
Saul Goodman,DEA,5,0
Saul Goodman,Kaylee,5,0
Ted Beneke,Kuby,5,2
Ted Beneke,Marie,5,2
Huell Babineaux,Kuby,6,0
Kuby,Todd Alquist,5,2
DEA,Madrigal,6,1
DEA,Chow,6,1
DEA,Lydia,11,1
Jack Welker,Todd Alquist,6,2
Madrigal,Lydia,5,1
Lydia,Merkert,5,1
Lydia,Chris,6,1
Lydia,Dennis Markowski,5,1
Lydia,Declan,6,1
Kaylee,Chris,5,3
Chris,Chow,6,3
Dennis Markowski,Dan Wachsberger,6,1
Dan Wachsberger,Todd Alquist,5,1
Skinny Pete,Badger,6,3
Andrea Cantillo,Marie,5,2
Todd Alquist,Declan,6,2
ASAC George Merkert,Albuquerque,6,1
