source,target,weight,community
Walter,Carol,3,0
Walter,Hank,169,0
Walter,Marie,61,0
Walter,Lydia,32,0
Walter,Skyler,112,0
Walter,Saul Goodman,77,0
Walter,Jesse,314,0
Walter,Mike,18,0
Walter,Huell Babineaux,22,0
Walter,Kuby,10,0
Walter,DEA,16,0
Walter,Declan,6,0
Walter,Jack Welker,91,0
Walter,Walt Jr.,15,0
Walter,Salamanca,6,0
Walter,Brock,5,0
Walter,Gale Boetticher,6,0
Walter,Todd Alquist,26,0
Walter,Gomez,16,0
Walter,Andrea Cantillo,11,0
Walter,Kenny,11,0
Walter,Bogdan,5,0
Walter,Jane Margolis,6,0
Walter,Ed,46,0
Walter,Ramey,6,0
Walter,Louis,5,0
Walter,Albuquerque,5,0
Walter,Gretchen,25,0
Walter,Elliott,21,0
Walter,Skinny Pete,6,0
Walter,Badger,5,0
Walter,Denny,6,0
Walter,Lawson,5,0
Carol,Hank,3,1
Hank,Marie,74,1
Hank,Lydia,5,1
Hank,DEA,12,1
Hank,Mike,6,1
Hank,Salamanca,6,1
Hank,Skyler,74,1
Hank,Jesse,58,1
Hank,Saul Goodman,11,1
Hank,Declan,5,1
Hank,Albuquerque,6,1
Hank,Walt Jr.,5,1
Hank,Gomez,95,1
Hank,Todd Alquist,5,1
Hank,Huell Babineaux,6,1
Hank,Kuby,5,1
Hank,Brock,5,1
Hank,Jack Welker,33,1
Hank,Kenny,5,1
Marie,Skyler,35,2
Marie,DEA,6,2
Marie,Walt Jr.,12,2
Marie,Jesse,6,2
Marie,Ramey,6,2
Skyler,Gale Boetticher,5,2
Skyler,Lydia,5,2
Skyler,Jesse,17,2
Skyler,DEA,11,2
Skyler,Walt Jr.,11,2
Skyler,Saul Goodman,15,2
Skyler,Bogdan,6,2
Skyler,Jack Welker,10,2
Skyler,Todd Alquist,11,2
Skyler,Ed,6,2
Gale Boetticher,Lydia,5,2
Lydia,Declan,5,2
Lydia,Kenny,6,2
Lydia,Todd Alquist,28,2
Lydia,Jack Welker,5,2
Lydia,Jesse,5,2
DEA,Gomez,6,4
DEA,Jesse,17,4
DEA,Jack Welker,11,4
DEA,SAC Ramey,6,4
DEA,Ramey,6,4
DEA,Albuquerque,6,4
Mike,Salamanca,6,1
Mike,Saul Goodman,6,1
Mike,Kaylee,6,1
Mike,Jesse,6,1
Saul Goodman,Jesse,52,1
Saul Goodman,Badger,5,1
Saul Goodman,Francesca,5,1
Saul Goodman,Huell Babineaux,12,1
Saul Goodman,Kaylee,5,1
Saul Goodman,Kuby,6,1
Saul Goodman,Gomez,6,1
Saul Goodman,Walt Jr.,12,1
Saul Goodman,Ed,15,1
Saul Goodman,Jack Welker,6,1
Jesse,Skinny Pete,5,3
Jesse,Badger,5,3
Jesse,Gomez,22,3
Jesse,Declan,5,3
Jesse,Jack Welker,56,3
Jesse,Brock,5,3
Jesse,Huell Babineaux,6,3
Jesse,Kuby,5,3
Jesse,Kenny,6,3
Jesse,Andrea Cantillo,29,3
Jesse,Todd Alquist,29,3
Jesse,Jane Margolis,5,3
Jesse,SAC Ramey,5,3
Jesse,Elliott,5,3
Jesse,Gang,5,3
Skinny Pete,Badger,12,3
Francesca,Huell Babineaux,6,1
Huell Babineaux,Kuby,12,1
Huell Babineaux,Brock,6,1
Huell Babineaux,Gomez,5,1
Declan,Todd Alquist,12,2
Declan,Jack Welker,6,2
Todd Alquist,Jack Welker,28,2
Jack Welker,Kenny,11,4
Jack Welker,Gomez,5,4
Jack Welker,Andrea Cantillo,5,4
Jack Welker,Ramey,5,4
Jack Welker,Ed,5,4
Albuquerque,Gomez,6,4
Albuquerque,Ed,5,4
Gomez,Gang,5,4
Kenny,Gang,6,3
Walt Jr.,Brock,5,2
Brock,Andrea Cantillo,18,3
Andrea Cantillo,Gang,6,3
Gretchen,Elliott,18,0
Denny,Lawson,6,0
